hts8,brief_description
29379045,"Amino-acid derivatives of hormones and their derivatives, nesoi"
29379090,"Other hormones,their derivatives and structural analogues,other steroid derivatives and structural analogue used primarily as hormones,nesoi"
29381000,Rutoside (Rutin) and its derivatives
29381000,Rutoside (Rutin) and its derivatives
29389000,"Glycosides, natural or synthesized, and their salts, ethers, esters, and other derivatives other than rutoside and its derivatives"
29389000,"Glycosides, natural or synthesized, and their salts, ethers, esters, and other derivatives other than rutoside and its derivatives"
29389000,"Glycosides, natural or synthesized, and their salts, ethers, esters, and other derivatives other than rutoside and its derivatives"
29391100,"Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, and other specified INNs; salts thereof"
29391910,Papaverine and its salts
29391920,Synthetic alkaloids of opium and their derivatives; salts thereof; nesoi
29391950,Nonsynthetic alkaloids of opium and their derivatives; salts thereof; nesoi
29392000,"Alkaloids of cinchona, and their derivatives; salts thereof, other than quinine and its salts"
29393000,Caffeine and its salts
29394100,Ephedrine and its salts
29394200,Pseudoephedrine and its salts
29394300,Cathine (INN) and its salts
29394400,Norephedrine & its salts
29394902,"Ephedrines and their salts, other than ephedrine, cathine, norephedrine, pseudoephedrine and their salts"
29395100,Fenetylline (INN) its salts
29395900,Theophylline aminophylline (Theophylline-ethylenediamine) and their derivatives; salts thereof; nesoi
29396100,Ergometrine and its salts
29396200,Ergotamine and its salts
29396300,Lysergic acid and its salts
29396900,"Alkaloids of rye ergot and their derivatives, nesoi; salts thereof"
29397100,"Cocaine, ecgonine, levometamfetamine, metamfetamine (INN), metamfetamine racemate;salts, esters and other derivatives thereof"
29397900,"Vegetable alkaloids, natural or reproduced by synthesis, their salts and other derivatives, nesoi"
29398000,"Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi"
29398000,"Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi"
29400020,D-Arabinose
29400060,"Other sugars, nesoi excluding d-arabinose"
29400060,"Other sugars, nesoi excluding d-arabinose"
29400060,"Other sugars, nesoi excluding d-arabinose"
29411010,Ampicillin and its salts
29411020,Penicillin G salts
29411030,"Carfecillin, sodium; cloxacillin, sodium; dicloxacillin, sodium; flucloxacillin (Floxacillin); and oxacillin, sodium"
29411050,"Penicillins and their derivatives nesoi, with a penicillanic acid structure; salts thereof"
29412010,Dihydrostreptomycins and its derivatives; salts thereof
29412010,Dihydrostreptomycins and its derivatives; salts thereof
29412050,"Streptomycins and their derivatives; salts thereof, nesoi"
29413000,Tetracyclines and their derivatives; salts thereof
29414000,Chloramphenicol and their derivatives; salts thereof
29415000,Erythromycin and their derivatives; salts thereof
29419010,"Natural antibiotics, nesoi"
29419030,"Antibiotics, nesoi, aromatic or modified aromatic, other than natural"
29419050,"Antibiotics nesoi, other than aromatic or modified aromatic antibiotics"
29420003,"[2,2'-Thiobis(4-(1,1,3,3-tetramethyl-n-butyl)phenolato)(2,1)]-O,O',S-s(1-butanamine), nickel II"
29420005,"Aromatic or modified aromatic drugs of other organic compounds, nesoi"
29420005,"Aromatic or modified aromatic drugs of other organic compounds, nesoi"
29420010,"Aromatic or modified aromatic organic compounds, nesoi, described in additional U.S. note 3 to section VI"
29420010,"Aromatic or modified aromatic organic compounds, nesoi, described in additional U.S. note 3 to section VI"
29420035,Other aromatic or modified aromatic organic compounds (excluding products described in additional U.S. note 3 to section VI)
29420035,Other aromatic or modified aromatic organic compounds (excluding products described in additional U.S. note 3 to section VI)
29420050,"Nonaromatic organic compounds, nesoi"
29420050,"Nonaromatic organic compounds, nesoi"
30012000,Extracts of glands or other organs or of their secretions for organotherapeutic uses
30019001,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered"
30021100,Malaria diagnostic test kits
30021200,Antisera and other blood fractions including human blood and fetal bovine serum
30021300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
30021400,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale"
30021500,"Immunological products, put up in measured doses or in forms or packings for retail sale"
30021900,"Blood fractions, nesoi"
30022000,Vaccines for human medicine
30023000,Vaccines for veterinary medicine
30029010,"Ferments, excluding yeasts"
30029051,"Human blood; animal blood prepared for therapeutic, prophylactic, diagnostic uses; toxins, cultures of micro-organisms nesoi & like products"
30031000,"Medicaments, cont. penicillins or streptomycins, not dosage form and not packed for retail"
30032000,"Medicaments containing antibiotics, nesoi, not dosage form and not packaged for retail"
30033100,"Medicaments containing insulin, not dosage form and not packed for retail"
30033910,"Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not dosage form and not packed for retail"
30033950,"Medicaments containing products of heading 2937, nesoi, but not antibiotics, not dosage form and not packed for retail"
30034100,"Medicaments containing ephedrine or its salts, not dosage form and not packed for retail"
30034200,"Medicaments containing pseudoephedrine (INN) or its salts, not dosage form and not packed for retail"
30034300,"Medicaments containing norephedrine or its salts, not dosage form and not packed for retail"
30034900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, not dosage form and not packed for retail"
30036000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, not dosage form and not packed for retail"
30039001,"Other medicaments excl goods of heading 3002, 3005, 3006 consist of two or more consituents mixed together, not dosage form and not packed for retail"
30041010,"Medicaments containing penicillin G salts, in dosage form and packed for retail"
30041050,"Medicaments cont. penicillins or streptomycins, nesoi, in dosage form or packed for retail"
30042000,"Medicaments containing antibiotics, nesoi, in dosage form or packed for retail"
30043100,"Medicaments containing insulin, in dosage form or packed for retail"
30043200,"Medicaments, containing adrenal cortical hormones, in dosage form or packed for retail"
30043900,"Medicaments, containing products of heading 2937 nesoi, in dosage form or packed for retail"
30044100,"Medicaments containing ephedrine or its salts, in dosage form and packed for retail"
30044200,"Medicaments containing pseudoephedrine (INN) or its salts, in dosage form and packed for retail"
30044300,"Medicaments containing norephedrine or its salts, in dosage form and packed for retail"
30044900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, in dosage form and packed for retail"
30045010,"Medicaments containing vitamin B2 synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail"
30045020,"Medicaments containing vitamin B12 synthesized from aromatic or mod. Aromatic compounds, in dosage form or packed for retail"
30045030,"Medicaments containing vitamin E synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail"
30045040,"Medicaments containing vitamins nesoi, synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail"
30045050,"Medicaments containing vitamins or other products of heading 2936, nesoi, in dosage form or packed for retail"
30046000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, in dosage form and packed for retail"
30049010,"Medicaments containing antigens or hyaluronic acid or its sodium salt, nesoi, in dosage form or packed for retail"
30049092,"Medicaments nesoi, in dosage form and packed for retail"
30051010,"Adhesive dressings and other articles having an adhesive layer, coated or impregnated with pharmaceutical substances, packed for retail"
30051050,"Adhesive dressings and other articles having an adhesive layer, packed for retail for medical, surgical, dental, veterinary purposes"
30059010,"Wadding, gauze, bandages, & similar articles, not having an adhesive layer, coated, impregnated with pharmaceutical substances, for retail"
30059050,"Wadding, gauze, bandages, and similar articles, not having an adhesive layer, packed for retail for medical, surgical, like purposes"
30061001,"Sterile surgical catgut, suture materials, tissue adhesives for wound closure, laminaria, laminaria tents, and absorbable hemostatics"
30062000,Blood-grouping reagents
30063010,Opacifying preparation for X-ray examination; diagnostic reagent designed to be administered to the patient; all cont. antigens or antisera
30063050,"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesoi"
30064000,Dental cements and other dental fillings; bone reconstruction cements
30065000,First-aid boxes and kits
30066000,Chemical contraceptive preparations based on hormones or spermicides
30067000,"Gel preparation use human/veterinary medicine lubricant in surgical operation, physical exam or coupling agent tween body & med instrument"
30067000,"Gel preparation use human/veterinary medicine lubricant in surgical operation, physical exam or coupling agent tween body & med instrument"
30069100,Appliances identifiable for ostomy use
30069100,Appliances identifiable for ostomy use
30069200,Waste pharmaceuticals
31010000,Animal or vegetable fertilizers; fertilizers produced by the mixing or chemical treatment of animal or vegetable products
31021000,"Urea, whether or not in aqueous solution"
31022100,Ammonium sulfate
31022900,Double salts and mixtures of ammonium sulfate and ammonium nitrate
31023000,"Ammonium nitrate, whether or not in aqueous solution"
31024000,Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances
31025000,Sodium nitrate
31026000,Double salts and mixtures of calcium nitrate and ammonium nitrate
31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution
31029001,"Mineral or chemical fertilizers, nitrogenous, nesoi, including mixtures not specified elsewhere in heading 3102"
31031100,Superphosphates containing by weight 35% or more of diphosphorous pentaoxide (P2O5)
31031900,Superphosphates nesoi
31039001,"Mineral or chemical fertilizers, phosphatic"
31042000,Potassium chloride
31043000,Potassium sulfate
31049001,"Mineral or chemical fertilizers, potassic, nesoi"
31051000,Fertilizers of chapter 31 in tablets or similar forms or in packages of a gross weight not exceeding 10 kg
31052000,"Mineral or chemical fertilizers nesoi, containing the three fertilizing elements nitrogen, phosphorus and potassium"
31053000,Diammonium hydrogenorthophosphate (Diammonium phosphate)
31054000,"Ammonium dihydrogenorthophosphate (Monoammonium phosphate), mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)"
31055100,"Mineral or chemical fertilizers nesoi, containing nitrates and phosphates"
31055900,"Mineral or chemical fertilizers nesoi, containing the two fertilizing elements nitrogen and phosphorus"
31056000,"Mineral or chemical fertilizers nesoi, containing the two fertilizing elements phosphorous and potassium"
31059000,"Mineral or chemical fertilizers cont. two or three of the fertilizing elements nitrogen, phosphorus and potassium fertilizers, nesoi"
32011000,Quebracho tanning extract
32012000,Wattle tanning extract
32019010,"Tannic acid, containing by weight 50 percent or more of tannic acid"
32019010,"Tannic acid, containing by weight 50 percent or more of tannic acid"
32019025,"Tanning extracts of canaigre,chestnut curupay,divi-divi,eucalyptus,gambier,hemlock,larch,mangrove,myrobalan,oak,sumac,tara,urunday,valonia"
32019050,"Tanning extracts of vegetable origin nesoi; tannins and their salts, ethers, esters and other derivatives"
32019050,"Tanning extracts of vegetable origin nesoi; tannins and their salts, ethers, esters and other derivatives"
32021010,Aromatic or modified aromatic synthetic organic tanning substances
32021010,Aromatic or modified aromatic synthetic organic tanning substances
32021050,"Synthetic organic tanning substances, nonaromatic"
32021050,"Synthetic organic tanning substances, nonaromatic"
32029010,"Tanning substances, tanning preparations and enzymatic preparations for pre-tanning consisting wholly of inorganic substances"
32029050,"Tanning substances, tanning preparations and enzymatic preparations for pre-tanning, nesoi"
32029050,"Tanning substances, tanning preparations and enzymatic preparations for pre-tanning, nesoi"
32030010,"Coloring matter of annato, archil, cochineal, cudbear, litmus and marigold meal"
32030030,"Mixtures of 3,4-dihydroxyphenyl-2,4,6,-trihydroxypphenylmethanone and 2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one"
32030080,"Coloring matter of vegetable or animal origin, nesoi"
32030080,"Coloring matter of vegetable or animal origin, nesoi"
32041110,Disperse blue 19 and other specified dispersed dyes and preparations based thereon
32041110,Disperse blue 19 and other specified dispersed dyes and preparations based thereon
32041115,Disperse blue 30 and preparations based thereon
32041115,Disperse blue 30 and preparations based thereon
32041118,"N-[2-[2,6-Dicyano-4-methylphenylazo]-5-(diethylamino)phenyl]methanesulfonamide; and 1 other specified disperse dye"
32041135,Disperse dyes described in add'l U.S. note 3 to section VI
32041135,Disperse dyes described in add'l U.S. note 3 to section VI
32041150,"Disperse dyes and preparations based thereon, nesoi"
32041150,"Disperse dyes and preparations based thereon, nesoi"
32041205,Acid black 210 powder and presscake
32041213,Acid violet 19
32041217,"Acid dyes, whether or not premetallized, and preparations based thereon, acid black 31, and other specified acid or mordant dyes"
32041217,"Acid dyes, whether or not premetallized, and preparations based thereon, acid black 31, and other specified acid or mordant dyes"
32041220,Acid black 61 and other specified acid and mordant dyes and preparations based thereon
32041220,Acid black 61 and other specified acid and mordant dyes and preparations based thereon
32041230,"Mordant black 75, blue 1, brown 79, red 81, 84 and preparations based thereon"
32041230,"Mordant black 75, blue 1, brown 79, red 81, 84 and preparations based thereon"
32041245,"Acid dyes, whether or not premetallized, and preparations based thereon, described in add'l U.S. note 3 to section VI"
32041245,"Acid dyes, whether or not premetallized, and preparations based thereon, described in add'l U.S. note 3 to section VI"
32041250,"Synthetic acid and mordant dyes and preparations based thereon, nesoi"
32041250,"Synthetic acid and mordant dyes and preparations based thereon, nesoi"
32041310,Basic black 7 and other specified basic dyes and preparations based thereon
32041310,Basic black 7 and other specified basic dyes and preparations based thereon
32041320,"Basic orange 22, basic red 13 dyes, and preparations based thereon"
32041320,"Basic orange 22, basic red 13 dyes, and preparations based thereon"
32041325,"Basic blue 3; basic red 14; and basic yellow 1, 11, 13; and preparations based thereon"
32041325,"Basic blue 3; basic red 14; and basic yellow 1, 11, 13; and preparations based thereon"
32041345,"3,7-Bis(dimethylamino)phenazathionium chloride (methylene blue); and basic blue 147"
32041360,"Basic dyes and preparations based thereon, described in add'l U.S note 3 to section VIvi"
32041360,"Basic dyes and preparations based thereon, described in add'l U.S note 3 to section VIvi"
32041380,"Basic dyes and preparations based thereon, nesoi"
32041380,"Basic dyes and preparations based thereon, nesoi"
32041410,Direct black 62 and other specified basic dyes and preparations based thereon
32041410,Direct black 62 and other specified basic dyes and preparations based thereon
32041420,Direct black 51 and other specified basic dyes and preparations based thereon
32041420,Direct black 51 and other specified basic dyes and preparations based thereon
32041425,Direct blue 86; direct red 83; direct yellow 28 dyes; and preparations based thereon
32041425,Direct blue 86; direct red 83; direct yellow 28 dyes; and preparations based thereon
32041430,"Direct dyes nesoi, and preparations based thereon, described in additional U.S. note 3 to section VI"
32041430,"Direct dyes nesoi, and preparations based thereon, described in additional U.S. note 3 to section VI"
32041450,"Direct dyes and preparations based thereon, nesoi"
32041450,"Direct dyes and preparations based thereon, nesoi"
32041510,"Vat blue 1 (synthetic indigo) dye, Colour Index No. 73000 and preparations based thereon"
32041510,"Vat blue 1 (synthetic indigo) dye, Colour Index No. 73000 and preparations based thereon"
32041520,"Vat brown 3; vat orange 2, 7; and vat violet 9, 13 dyes and preparations based thereon"
32041520,"Vat brown 3; vat orange 2, 7; and vat violet 9, 13 dyes and preparations based thereon"
32041525,Vat red 1
32041530,Solubilized vat blue 5 and specified solubilized vat dyes and preparations based thereon
32041530,Solubilized vat blue 5 and specified solubilized vat dyes and preparations based thereon
32041535,"Solubilized vat orange 3, vat blue 2, vat red 44; and vat yellow 4, 20 and preparations based thereon"
32041535,"Solubilized vat orange 3, vat blue 2, vat red 44; and vat yellow 4, 20 and preparations based thereon"
32041540,"Vat dyes (incl. those usable as pigments) and preparations based thereon, described in add. U.S. note 3 to sec. VI"
32041540,"Vat dyes (incl. those usable as pigments) and preparations based thereon, described in add. U.S. note 3 to sec. VI"
32041580,"Vat dyes (including those usable in that state as pigments) and preparations based thereon, nesoi"
32041580,"Vat dyes (including those usable in that state as pigments) and preparations based thereon, nesoi"
32041610,"Reactive black 1; blue 1, 2, 4; orange 1; red 1, 2, 3, 5, 6; and yellow 1; and preparations based thereon"
32041610,"Reactive black 1; blue 1, 2, 4; orange 1; red 1, 2, 3, 5, 6; and yellow 1; and preparations based thereon"
32041620,Specified reactive dye mixtures and preparations based thereon
32041620,Specified reactive dye mixtures and preparations based thereon
32041630,"Reactive dyes and preparations based thereon nesoi, described in additional U.S. note 3 to section VI"
32041630,"Reactive dyes and preparations based thereon nesoi, described in additional U.S. note 3 to section VI"
32041650,"Synthetic reactive dyes and preparations based thereon, nesoi"
32041650,"Synthetic reactive dyes and preparations based thereon, nesoi"
32041704,"Pigments and preparations based thereon, pigment black 1, and other specified pigments, nesoi"
32041704,"Pigments and preparations based thereon, pigment black 1, and other specified pigments, nesoi"
32041708,"Pigment red 178; pigment yellow 101, 138"
32041720,Copper phthalocyanine ([Phthalocyanato(2-)]copper) not ready for use as a pigment
32041720,Copper phthalocyanine ([Phthalocyanato(2-)]copper) not ready for use as a pigment
32041740,"Pigments and preparations based thereon, isoindoline red pigment; pigment red 242, 245; pigment yellow 155, 183, nesoi"
32041760,"Pigments and preparations based thereon, products described in add'l U.S. note 3 to section VI, nesoi"
32041760,"Pigments and preparations based thereon, products described in add'l U.S. note 3 to section VI, nesoi"
32041790,"Other pigments and preparations based thereon, nesoi"
32041790,"Other pigments and preparations based thereon, nesoi"
32041906,"Solvent yellow 43, 44, 85, 172"
32041911,Solvent black 2 and other specified solvent dyes and preparations based thereon
32041911,Solvent black 2 and other specified solvent dyes and preparations based thereon
32041920,"Solvent dyes and preparations based thereon, products described in add'l U.S. note 3 to section VI"
32041920,"Solvent dyes and preparations based thereon, products described in add'l U.S. note 3 to section VI"
32041925,Solvent dyes and preparations based thereon nesoi
32041925,Solvent dyes and preparations based thereon nesoi
32041930,"Sulfur black, Colour Index Nos. 53185, 53190 and 53195 and preparations based thereon"
32041930,"Sulfur black, Colour Index Nos. 53185, 53190 and 53195 and preparations based thereon"
32041935,Beta-carotene and other carotenoid coloring matter
32041935,Beta-carotene and other carotenoid coloring matter
32041940,"Synthetic organic coloring matter and preparations based thereon, nesoi, described in additional U.S. note 3 to section VI"
32041940,"Synthetic organic coloring matter and preparations based thereon, nesoi, described in additional U.S. note 3 to section VI"
32041950,"Synthetic organic coloring matter and preparations based thereon nesoi, including mixtures of items from subheading 320411 to 320419"
32041950,"Synthetic organic coloring matter and preparations based thereon nesoi, including mixtures of items from subheading 320411 to 320419"
32042010,Fluorescent brightening agent 32
32042010,Fluorescent brightening agent 32
32042040,Benzoxazol
32042080,"Synthetic organic products of a kind used as fluorescent brightening agents, nesoi"
32042080,"Synthetic organic products of a kind used as fluorescent brightening agents, nesoi"
32049000,"Synthetic organic coloring matter or preparations based thereon, nesoi; synthetic organic products used as luminophores"
32049000,"Synthetic organic coloring matter or preparations based thereon, nesoi; synthetic organic products used as luminophores"
32050005,"Carmine food coloring solutions, cont cochineal carmine lake and paprika oleoresins, not including any synthetic organic coloring matter"
32050015,"Carmine color lakes and preparations as specified in note 3 to this chapter, nesoi"
32050015,"Carmine color lakes and preparations as specified in note 3 to this chapter, nesoi"
32050040,"Color lakes and preparations based thereon, described in additional U.S. note 3 to section VI"
32050040,"Color lakes and preparations based thereon, described in additional U.S. note 3 to section VI"
32050050,"Color lakes and preparations based thereon, nesoi"
32050050,"Color lakes and preparations based thereon, nesoi"
32061100,Pigments & preparations based on titanium dioxide containing 80 percent or more by weight off titanium dioxide calculated on the dry weight
32061100,Pigments & preparations based on titanium dioxide containing 80 percent or more by weight off titanium dioxide calculated on the dry weight
32061900,"Pigments and preparations based on titanium dioxide, nesoi"
32061900,"Pigments and preparations based on titanium dioxide, nesoi"
32062000,Pigments and preparations based on chromium compounds
32062000,Pigments and preparations based on chromium compounds
32064100,Ultramarine and preparations based thereon
32064100,Ultramarine and preparations based thereon
32064200,Lithopone and other pigments and preparations based on zinc sulfide
32064200,Lithopone and other pigments and preparations based on zinc sulfide
32064910,Concentrated dispersions of pigments in plastics materials
32064910,Concentrated dispersions of pigments in plastics materials
32064920,"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32"
32064920,"Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32"
32064930,"Coloring preparations based on zinc oxides, as specified in note 3 to this chapter 32"
32064930,"Coloring preparations based on zinc oxides, as specified in note 3 to this chapter 32"
32064940,"Coloring preparations based on carbon black, as specified in note 3 to this chapter 32"
32064955,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides)
32064955,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides)
32064960,"Coloring matter and preparations, nesoi, as specified in note 3 to this chapter 32"
32064960,"Coloring matter and preparations, nesoi, as specified in note 3 to this chapter 32"
32065000,Inorganic products of a kind used as luminophores
32065000,Inorganic products of a kind used as luminophores
32071000,"Prepared pigments, opacifiers, colors, and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32071000,"Prepared pigments, opacifiers, colors, and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32072000,"Vitrifiable enamels and glazes, engobes (slips), and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32072000,"Vitrifiable enamels and glazes, engobes (slips), and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32073000,"Liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32073000,"Liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry"
32074010,"Glass frit and other glass, ground or pulverized"
32074010,"Glass frit and other glass, ground or pulverized"
32074050,"Glass frit and other glass, in the form of granules or flakes"
32074050,"Glass frit and other glass, in the form of granules or flakes"
32081000,Paints and varnishes (including enamels and lacquers) based on polyesters in a nonaqueous medium
32081000,Paints and varnishes (including enamels and lacquers) based on polyesters in a nonaqueous medium
32082000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in a nonaqueous medium
32082000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in a nonaqueous medium
32089000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in a nonaqueous medium"
32089000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in a nonaqueous medium"
32091000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in an aqueous medium
32091000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in an aqueous medium
32099000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in an aqueous medium"
32099000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in an aqueous medium"
32100000,"Other paints and varnishes (including enamels, lacquers and distempers) nesoi; prepared water pigments of a kind used for finishing leather"
32100000,"Other paints and varnishes (including enamels, lacquers and distempers) nesoi; prepared water pigments of a kind used for finishing leather"
32110000,Prepared driers for paints and varnishes
32110000,Prepared driers for paints and varnishes
32121000,Stamping foils
32121000,Stamping foils
32129000,"Pigments dispersed in nonaqueous media, in liquid or paste form, used in making paints; dyes & coloring matter packaged for retail sale"
32129000,"Pigments dispersed in nonaqueous media, in liquid or paste form, used in making paints; dyes & coloring matter packaged for retail sale"
32131000,"Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, in sets"
32131000,"Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, in sets"
32139000,"Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, not in sets"
32139000,"Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, not in sets"
32141000,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings"
32141000,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings"
32149010,"Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, based on rubber"
32149050,"Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, not based on rubber"
32149050,"Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, not based on rubber"
32149050,"Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, not based on rubber"
32151110,"Printing ink, black, solid, in engineered shapes for apparatus in 8443.31,32,39"
32151130,"Printing ink, black, solid, other"
32151130,"Printing ink, black, solid, other"
32151190,"Printing ink, black, not solid, other"
32151190,"Printing ink, black, not solid, other"
32151910,"Printing ink, not black, solid, in engineered shapes for apparatus in 8443.31,32,39"
32151930,"Printing ink, not black, solid, other"
32151930,"Printing ink, not black, solid, other"
32151990,"Printing ink, not black, not solid"
32151990,"Printing ink, not black, not solid"
32159010,Drawing ink
32159010,Drawing ink
32159050,"Inks, other than printing or drawing inks"
32159050,"Inks, other than printing or drawing inks"
33011200,Essential oils of orange
33011200,Essential oils of orange
33011300,Essential oils of lemon
33011300,Essential oils of lemon
33011910,Essential oils of grapefruit
33011910,Essential oils of grapefruit
33011951,"Essential oils of citrus fruit, other, nesoi"
33012400,Essential oils of peppermint (Mentha piperita)
33012400,Essential oils of peppermint (Mentha piperita)
33012500,"Essential oils of mints, other than peppermint"
33012910,Essential oils of eucalyptus
33012910,Essential oils of eucalyptus
33012920,Essential oils of orris
33012920,Essential oils of orris
33012951,"Essential oils other than those of citrus fruit, other, nesoi"
33013000,Resinoids
33019010,Extracted oleoresins consisting essentially of nonvolatile components of the natural raw plant
33019010,Extracted oleoresins consisting essentially of nonvolatile components of the natural raw plant
33019050,Concentrates of essential oils; terpenic by-product of the deterpenation of essential oils; aqueous distillates& solutions of essential oils
33021010,"Mixtures of odoriferous substances, mixtures with a basis of these substances, used in the food or drink industries, not containing alcohol"
33021020,"Mixtures of or with a basis of odoriferous substances, used in the food or drink industries, not over 20 percent alcohol by weight"
33021040,"Mixtures of/with basis of odoriferous substances,with 20% to 50% alcohol by weight, needs only addn of ethyl alcohol or water to be beverage"
33021040,"Mixtures of/with basis of odoriferous substances,with 20% to 50% alcohol by weight, needs only addn of ethyl alcohol or water to be beverage"
33021050,"Mixtures of/with basis of odoriferous substances,over 50% of alcohol by weight, requiring only addn of ethyl alcohol or water to be beverage"
33021050,"Mixtures of/with basis of odoriferous substances,over 50% of alcohol by weight, requiring only addn of ethyl alcohol or water to be beverage"
33021090,"Mixtures of or with a basis of odoriferous substances, used in the food or drink industries, over 20 percent of alcohol by weight, nesoi"
33029010,"Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, zero to 10% alcohol by weight"
33029020,"Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, over 10 percent alcohol by weight"
33030010,"Floral or flower waters, not containing alcohol"
33030020,"Perfumes and toilet waters, other than floral or flower waters, not containing alcohol"
33030030,"Perfumes and toilet waters, containing alcohol"
33041000,Lip make-up preparations
33042000,Eye make-up preparations
33043000,Manicure or pedicure preparations
33049100,"Beauty or make-up powders, whether or not compressed"
33049910,Petroleum jelly put up for retail sale
33049950,"Beauty or make-up preparations & preparations for the care of the skin, excl. medicaments but incl. sunscreen or sun tan preparations, nesoi"
33051000,Shampoos
33052000,Preparations for permanent waving or straightening the hair
33053000,Hair lacquers
33059000,"Preparations for use on the hair, nesoi"
33061000,Dentifrices
33062000,Yarn used to clean between the teeth (dental floss)
33069000,"Preparations for oral or dental hygiene, including denture fixative pastes and powders, excluding dentifrices"
33071010,"Pre-shave, shaving or after-shave preparations, not containing alcohol"
33071010,"Pre-shave, shaving or after-shave preparations, not containing alcohol"
33071010,"Pre-shave, shaving or after-shave preparations, not containing alcohol"
33071020,"Pre-shave, shaving or after-shave preparations, containing alcohol"
33071020,"Pre-shave, shaving or after-shave preparations, containing alcohol"
33071020,"Pre-shave, shaving or after-shave preparations, containing alcohol"
33072000,Personal deodorants and antiperspirants
33072000,Personal deodorants and antiperspirants
33073010,"Bath salts, whether or not perfumed"
33073010,"Bath salts, whether or not perfumed"
33073050,"Bath preparations, other than bath salts"
33073050,"Bath preparations, other than bath salts"
33074100,"Agarbatti and other odoriferous preparations which operate by burning, to perfume or deodorize rooms or used during religious rites"
33074100,"Agarbatti and other odoriferous preparations which operate by burning, to perfume or deodorize rooms or used during religious rites"
33074900,"Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi"
33074900,"Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi"
33074900,"Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi"
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations. nesoi"
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations. nesoi"
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations. nesoi"
34011110,"Castile soap in the form of bars, cakes or molded pieces or shapes"
34011150,"Soap, nesoi; organic surface-active products used as soap, in bars, cakes, pieces, soap-impregnated paper, wadding, felt, for toilet use"
